Jahr,Alter,Altersgruppen_Typ,Sonstige_Zweitstimmen_Pct,CDU_CSU_Zweitstimmen_Pct,GRUENE_Zweitstimmen_Pct,SPD_Zweitstimmen_Pct,AfD_Zweitstimmen_Pct,FDP_Zweitstimmen_Pct,DIELINKE_Zweitstimmen_Pct,Wahlbeteiligung_Pct
2002,18 bis 24,Detailgruppe,6.4,19.9,19.7,44.0,,9.9,,64.9
2002,25 bis 34,Detailgruppe,5.8,22.6,25.0,35.6,,11.0,,75.7
2002,35 bis 44,Detailgruppe,6.7,21.9,28.1,35.9,,7.4,,78.4
2002,45 bis 59,Detailgruppe,7.1,29.2,20.3,35.9,,7.5,,79.1
2002,60 und mehr,Aggregat_60plus,4.5,49.0,6.9,33.7,,6.0,,78.4
2002,insgesamt,Gesamtdurchschnitt,5.9,32.6,18.2,35.6,,7.7,,77.1
2005,18 bis 24,Detailgruppe,6.2,15.7,20.1,38.6,,10.7,8.7,65.6
2005,25 bis 34,Detailgruppe,4.3,19.6,21.2,31.5,,16.3,7.1,73.5
2005,35 bis 44,Detailgruppe,3.8,21.4,26.3,30.5,,11.7,6.3,80.1
2005,45 bis 59,Detailgruppe,3.4,24.1,20.6,32.7,,10.1,9.1,80.2
2005,60 und mehr,Aggregat_60plus,2.9,45.7,7.8,26.8,,12.6,4.2,78.6
2005,insgesamt,Gesamtdurchschnitt,3.7,29.4,17.7,30.5,,12.2,6.6,77.5
2009,18 bis 24,Detailgruppe,10.2,15.5,22.9,24.9,,12.6,13.9,61.2
2009,25 bis 34,Detailgruppe,6.5,20.7,21.5,19.5,,22.1,9.8,71.3
2009,35 bis 44,Detailgruppe,5.6,21.2,24.1,19.7,,19.0,10.6,76.6
2009,45 bis 59,Detailgruppe,5.3,18.7,21.5,23.8,,12.9,17.8,74.3
2009,60 und mehr,Aggregat_60plus,2.7,39.5,7.0,26.8,,16.3,7.7,73.5
2009,insgesamt,Gesamtdurchschnitt,5.1,25.7,17.7,23.2,,16.8,11.5,73.0
2013,18 bis 24,Detailgruppe,10.0,20.9,17.7,30.6,3.4,3.8,13.6,57.5
2013,25 bis 34,Detailgruppe,6.3,27.6,18.4,26.1,4.2,7.0,10.4,71.0
2013,35 bis 44,Detailgruppe,5.4,29.3,20.1,23.6,6.0,7.0,8.5,75.0
2013,45 bis 59,Detailgruppe,3.5,26.9,18.5,27.7,5.6,4.9,12.9,75.3
2013,60 und mehr,Aggregat_60plus,2.0,43.8,6.9,29.8,4.9,5.4,7.3,75.2
2013,60 bis 69,Detailgruppe,2.4,34.1,11.6,31.3,5.0,4.1,11.6,77.0
2013,70 und mehr,Detailgruppe,1.7,50.4,3.6,28.8,4.8,6.3,4.3,74.0
2013,insgesamt,Gesamtdurchschnitt,4.3,32.1,15.3,27.4,5.1,5.8,10.0,73.0
2017,18 bis 24,Detailgruppe,7.6,14.9,16.5,24.4,5.5,12.6,18.6,61.7
2017,25 bis 34,Detailgruppe,6.6,21.3,17.3,18.5,7.1,14.3,14.9,68.1
2017,35 bis 44,Detailgruppe,6.3,24.5,18.0,19.7,7.6,11.5,12.5,71.3
2017,45 bis 59,Detailgruppe,4.0,22.3,16.3,21.5,12.7,10.4,12.7,74.9
2017,60 und mehr,Aggregat_60plus,1.7,31.7,7.6,25.8,11.3,11.4,10.5,74.1
2017,60 bis 69,Detailgruppe,2.2,22.9,10.9,24.7,12.4,10.5,16.4,76.0
2017,70 und mehr,Detailgruppe,1.2,38.4,5.1,26.6,10.4,12.2,6.0,72.7
2017,insgesamt,Gesamtdurchschnitt,4.4,24.9,14.0,22.3,9.9,11.8,12.8,71.7
2021,18 bis 24,Detailgruppe,15.0,5.6,35.5,8.7,1.4,20.9,12.9,67.4
2021,25 bis 34,Detailgruppe,11.8,9.1,34.8,15.6,3.7,16.1,8.8,79.2
2021,35 bis 44,Detailgruppe,11.8,11.4,29.0,19.0,5.1,15.5,8.1,82.0
2021,45 bis 59,Detailgruppe,7.2,16.4,25.6,23.5,7.4,13.9,5.9,80.1
2021,60 und mehr,Aggregat_60plus,4.0,27.9,13.5,32.9,5.4,10.8,5.4,75.3
2021,60 bis 69,Detailgruppe,6.3,17.8,17.7,32.7,6.8,10.2,8.4,77.5
2021,70 und mehr,Detailgruppe,2.3,35.6,10.3,33.0,4.4,11.3,3.1,73.6
2021,insgesamt,Gesamtdurchschnitt,8.2,17.5,24.3,23.6,5.3,13.9,7.1,77.8
2025,18 bis 24,Detailgruppe,9.4,13.1,13.0,12.6,8.1,6.3,37.1,69.4
2025,25 bis 34,Detailgruppe,11.4,13.8,21.4,12.2,7.8,7.6,25.5,83.4
2025,35 bis 44,Detailgruppe,12.2,20.6,20.6,16.1,11.0,4.9,14.4,81.4
2025,45 bis 59,Detailgruppe,7.9,26.1,20.0,16.9,12.6,6.3,9.5,80.8
2025,60 und mehr,Aggregat_60plus,5.7,33.2,14.0,23.4,10.3,5.1,7.2,80.1
2025,60 bis 69,Detailgruppe,7.6,26.2,17.4,20.5,13.9,4.2,9.1,83.6
2025,70 und mehr,Detailgruppe,4.0,39.1,11.1,25.9,7.3,5.8,5.5,77.1
2025,insgesamt,Gesamtdurchschnitt,8.5,24.5,17.7,17.8,10.4,5.9,14.6,79.9
